Time (s),Voltage (V),Frequency (Hz),Magnitude (dB)
-0.998,0.11346,0.0,41.89236121161956
-0.996,0.1172333,0.0,41.89236121161956
-0.994,0.10786,0.0,41.89236121161956
-0.992,0.10808,0.0,41.89236121161956
-0.99,0.1456667,0.0,41.89236121161956
-0.988,0.1453467,0.0,41.89236121161956
-0.986,0.1079667,0.0,41.89236121161956
-0.984,0.1079667,0.0,41.89236121161956
-0.982,0.1442667,0.0,41.89236121161956
-0.98,0.14448,0.0,41.89236121161956
-0.978,0.11346,0.0,41.89236121161956
-0.976,0.1171267,0.0,41.89236121161956
-0.974,0.1081867,0.0,41.89236121161956
-0.972,0.1082933,0.0,41.89236121161956
-0.97,0.1457733,0.0,41.89236121161956
-0.968,0.14502,0.0,41.89236121161956
-0.966,0.10808,0.0,41.89236121161956
-0.964,0.1079667,0.0,41.89236121161956
-0.962,0.1442667,0.0,41.89236121161956
-0.96,0.1451267,0.0,41.89236121161956
-0.958,0.1132467,0.0,41.89236121161956
-0.956,0.1171267,0.0,41.89236121161956
-0.954,0.10786,0.0,41.89236121161956
-0.952,0.1081867,0.0,41.89236121161956
-0.95,0.1452333,0.0,41.89236121161956
-0.948,0.1434067,0.0,41.89236121161956
-0.946,0.1084,0.0,41.89236121161956
-0.944,0.1081867,0.0,41.89236121161956
-0.942,0.1439467,0.0,41.89236121161956
-0.94,0.1463133,0.0,41.89236121161956
-0.938,0.11368,0.0,41.89236121161956
-0.9359999999999999,0.1175533,0.0,41.89236121161956
-0.9339999999999999,0.1079667,0.0,41.89236121161956
-0.9319999999999999,0.1084,0.0,41.89236121161956
-0.9299999999999999,0.1445933,0.0,41.89236121161956
-0.9279999999999999,0.14502,0.0,41.89236121161956
-0.9259999999999999,0.1082933,0.0,41.89236121161956
-0.9239999999999999,0.1081867,0.0,41.89236121161956
-0.9219999999999999,0.1442667,0.0,41.89236121161956
-0.9199999999999999,0.14556,0.0,41.89236121161956
-0.9179999999999999,0.1137867,0.0,41.89236121161956
-0.9159999999999999,0.1175533,0.0,41.89236121161956
-0.9139999999999999,0.1079667,0.0,41.89236121161956
-0.9119999999999999,0.1081867,0.0,41.89236121161956
-0.9099999999999999,0.1459933,0.0,41.89236121161956
-0.9079999999999999,0.1457733,0.0,41.89236121161956
-0.9059999999999999,0.1081867,0.0,41.89236121161956
-0.9039999999999999,0.1079667,0.0,41.89236121161956
-0.9019999999999999,0.1457733,0.0,41.89236121161956
-0.8999999999999999,0.14556,0.0,41.89236121161956
-0.8979999999999999,0.11346,0.0,41.89236121161956
-0.8959999999999999,0.1172333,0.0,41.89236121161956
-0.8939999999999999,0.10808,0.0,41.89236121161956
-0.8919999999999999,0.10872,0.0,41.89236121161956
-0.8899999999999999,0.1461,0.0,41.89236121161956
-0.8879999999999999,0.1442667,0.0,41.89236121161956
-0.8859999999999999,0.10872,0.0,41.89236121161956
-0.8839999999999999,0.10808,0.0,41.89236121161956
-0.8819999999999999,0.14308,0.0,41.89236121161956
-0.8799999999999999,0.14588,0.0,41.89236121161956
-0.8779999999999999,0.1141067,0.0,41.89236121161956
-0.8759999999999999,0.1177733,0.0,41.89236121161956
-0.8739999999999999,0.1079667,0.0,41.89236121161956
-0.8719999999999999,0.1081867,0.0,41.89236121161956
-0.8699999999999999,0.1447,0.0,41.89236121161956
-0.8679999999999999,0.14642,0.0,41.89236121161956
-0.8659999999999999,0.10808,0.0,41.89236121161956
-0.8639999999999999,0.10808,0.0,41.89236121161956
-0.8619999999999999,0.1477133,0.0,41.89236121161956
-0.8599999999999999,0.1477133,0.0,41.89236121161956
-0.8579999999999999,0.1132467,0.0,41.89236121161956
-0.8559999999999999,0.11702,0.0,41.89236121161956
-0.8539999999999999,0.1084,0.0,41.89236121161956
-0.8519999999999999,0.10872,0.0,41.89236121161956
-0.8499999999999999,0.1448067,0.0,41.89236121161956
-0.8479999999999999,0.1443733,0.0,41.89236121161956
-0.8460000000000001,0.1084,0.0,41.89236121161956
-0.8440000000000001,0.1081867,0.0,41.89236121161956
-0.8420000000000001,0.1449133,0.0,41.89236121161956
-0.8400000000000001,0.1443733,0.0,41.89236121161956
-0.8380000000000001,0.1137867,0.0,41.89236121161956
-0.8360000000000001,0.1175533,0.0,41.89236121161956
-0.8340000000000001,0.1085067,0.0,41.89236121161956
-0.8320000000000001,0.1084,0.0,41.89236121161956
-0.8300000000000001,0.1445933,0.0,41.89236121161956
-0.8280000000000001,0.14502,0.0,41.89236121161956
-0.8260000000000001,0.1084,0.0,41.89236121161956
-0.8240000000000001,0.1081867,0.0,41.89236121161956
-0.8220000000000001,0.1461,0.0,41.89236121161956
-0.8200000000000001,0.14696,0.0,41.89236121161956
-0.8180000000000001,0.11454,0.0,41.89236121161956
-0.8160000000000001,0.1179867,0.0,41.89236121161956
-0.8140000000000001,0.1081867,0.0,41.89236121161956
