Time (s),no_pump,pump_1552.4385nm,no_pump,pump_1551nm,pump_1556nm
0.00015199999999999998,0.08521333,0.08589999,0.09407333,0.08535333,0.1002
0.0001525,0.08453999,0.08661333,0.09325333,0.08601332,0.09951333
0.000153,0.08449999,0.08662666,0.09331999,0.08539332,0.10024
0.0001535,0.08522666,0.08589999,0.09412666,0.08602666,0.09952666
0.000154,0.08452666,0.08662666,0.09328,0.08533999,0.09952666
0.0001545,0.08522666,0.08589999,0.09407333,0.08602666,0.10028
0.000155,0.08522666,0.08582,0.09411333,0.08523999,0.1002133
0.00015549999999999999,0.08448666,0.08662666,0.09328,0.08597999,0.09949999
0.000156,0.08527999,0.08665333,0.09409999,0.08532666,0.10016
0.00015649999999999998,0.08448666,0.08585999,0.09322666,0.08597999,0.09942
0.000157,0.08523999,0.08659999,0.09331999,0.08592666,0.1002133
0.00015749999999999998,0.08453999,0.08585999,0.09412666,0.08523999,0.09945999
0.000158,0.08522666,0.08662666,0.09323999,0.08597999,0.09937999
0.0001585,0.08452666,0.08587333,0.09406,0.08531333,0.1001333
0.000159,0.08525333,0.08582,0.09329332,0.08527999,0.09940666
0.0001595,0.08453999,0.08661333,0.09408666,0.08591333,0.1001333
0.00015999999999999999,0.08521333,0.08657333,0.09331999,0.08594,0.1001333
0.0001605,0.08452666,0.08584666,0.09411333,0.08523999,0.09936666
0.00016099999999999998,0.08529333,0.08582,0.09408666,0.086,0.1001733
0.0001615,0.08449999,0.08657333,0.09330666,0.08523999,0.09940666
0.00016199999999999998,0.08452666,0.08583333,0.09326666,0.08517332,0.1001333
0.0001625,0.08523999,0.08656,0.09412666,0.08592666,0.09939332
0.000163,0.08453999,0.08656,0.09330666,0.08589999,0.09937999
0.0001635,0.08523999,0.08579332,0.09412666,0.08522666,0.1001333
0.000164,0.08453999,0.08569999,0.09331999,0.08589999,0.10024
0.0001645,0.08521333,0.08654666,0.09412666,0.08510666,0.09943333
0.000165,0.0852,0.08653333,0.09330666,0.08515999,0.1002133
0.00016549999999999998,0.08447333,0.08577999,0.09413999,0.08592666,0.09940666
0.000166,0.08451333,0.08649333,0.09334666,0.08522666,0.09944666
0.00016649999999999998,0.08526666,0.08577999,0.09413999,0.08589999,0.1002133
0.000167,0.08443332,0.08653333,0.09334666,0.08585999,0.09936666
0.0001675,0.08522666,0.08579332,0.09424666,0.08518666,0.1002267
0.000168,0.08451333,0.08647999,0.09333333,0.08584666,0.09949999
0.0001685,0.08522666,0.08572666,0.09412666,0.08514666,0.1002
0.000169,0.08518666,0.08647999,0.09334666,0.0852,0.09952666
0.0001695,0.08448666,0.08573999,0.09416666,0.08587333,0.1001467
0.00016999999999999999,0.08449999,0.08575333,0.09326666,0.08518666,0.09948666
0.0001705,0.08521333,0.08651999,0.09412666,0.08585999,0.10016
0.00017099999999999998,0.08521333,0.08647999,0.09413999,0.08589999,0.09944666
0.0001715,0.08453999,0.08573999,0.09330666,0.08521333,0.10016
0.00017199999999999998,0.08448666,0.08645333,0.09411333,0.08587333,0.1001467
0.0001725,0.08526666,0.08573999,0.09319999,0.08518666,0.09940666
0.000173,0.08448666,0.08572666,0.09326666,0.0852,0.10012
0.0001735,0.0852,0.08647999,0.09409999,0.08589999,0.09937999
0.000174,0.08515999,0.08646666,0.09323999,0.08583333,0.09927332
0.00017449999999999999,0.08439333,0.08571333,0.09406,0.08513333,0.1001067
0.000175,0.08448666,0.08571333,0.09325333,0.08517332,0.1000667
0.00017549999999999998,0.08517332,0.08646666,0.09404666,0.08582,0.09931333
0.000176,0.08515999,0.08646666,0.09413999,0.08582,0.10008
0.00017649999999999998,0.08447333,0.08567332,0.09326666,0.08515999,0.09932666
0.000177,0.08514666,0.08653333,0.09407333,0.08514666,0.1000267
0.0001775,0.08447333,0.08568666,0.09326666,0.08583333,0.09924666
0.000178,0.08443332,0.08645333,0.09407333,0.08518666,0.1000667
0.0001785,0.08515999,0.08572666,0.09322666,0.08583333,0.09931333
0.000179,0.08442,0.08646666,0.09325333,0.0852,0.09929999
0.0001795,0.08514666,0.08568666,0.09409999,0.08579332,0.1000933
0.00017999999999999998,0.08444666,0.08647999,0.09413999,0.08517332,0.09933999
0.0001805,0.08525333,0.08569999,0.09326666,0.08588666,0.10008
0.00018099999999999998,0.08517332,0.08571333,0.09412666,0.08510666,0.1000667
0.0001815,0.08446,0.08649333,0.09331999,0.08579332,0.09935333
0.00018199999999999998,0.08440666,0.08645333,0.09335999,0.08579332,0.09936666
0.0001825,0.08513333,0.08569999,0.09411333,0.08515999,0.1000667
0.000183,0.08514666,0.08571333,0.09408666,0.08517332,0.09942
0.0001835,0.08439333,0.08647999,0.09331999,0.08579332,0.1001467
0.000184,0.08517332,0.08647999,0.09329332,0.08514666,0.1000667
0.00018449999999999999,0.08437999,0.08569999,0.09412666,0.08577999,0.09933999
0.000185,0.08511999,0.08649333,0.09404666,0.08580666,0.09937999
0.00018549999999999998,0.08443332,0.08571333,0.09326666,0.08509333,0.1001067
0.000186,0.08511999,0.08573999,0.09409999,0.08515999,0.1001067
